2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,,,code,country
103504.18046862136,109975.42931827447,116847.63359656816,124148.11458452564,131906.95375201022,140156.70783933066,148932.37459459307,158271.6243988477,168214.88196121703,178805.7020853807,NGA,Nigeria,NGA,Nigeria
108807.88669707788,114672.23355892305,120825.95827719367,127287.7832660122,134080.35882354632,141229.94397852858,148764.64228508287,156712.17438260856,165102.6352523396,173972.21930171805,PAK,Pakistan,PAK,Pakistan
11447.873503548863,11398.99451313858,11347.259502707873,11292.72050501015,11235.313924457909,11174.976165463653,11111.713009444431,11045.536019234329,10976.64176301289,10905.327983757956,MDA,Republic of Moldova,MDA,Republic of Moldova
10459.344912205781,11061.9447917364,11695.587883987864,12361.95671219952,13063.290695403903,13802.034511116897,14580.73380666801,15401.969931245862,16268.306516663755,17182.49208425425,RWA,Rwanda,RWA,Rwanda
6852.158406011746,7283.756089018294,7741.02393047234,8225.694575346946,8739.73032992307,9285.299760717302,9864.71982798308,10480.423872544785,11135.008569083178,11831.348856230057,SEN,Senegal,SEN,Senegal
2305.7237932515527,2438.5359721947175,2577.6467558870772,2723.340622639775,2875.905239461623,3035.626075754551,3202.809931917563,3377.8097414701365,3561.0226284294185,3752.8515310809344,SLE,Sierra Leone,SLE,Sierra Leone
3507.1193476259077,3755.206304701545,4017.962633409871,4296.223474343618,4590.877485794077,4902.890056930075,5233.281353028516,5583.084685850439,5953.373597464358,6345.303425095055,SOM,Somalia,SOM,Somalia
5128.950378969445,5444.155601622539,5776.2732855569375,6126.42470178779,6495.638480389327,6884.978115171862,7295.628533393385,7728.873246492864,8186.1962006110925,8669.24868620873,SSD,South Sudan,SSD,South Sudan
33435.5190833144,33502.13909170311,33558.47148320343,33605.08901256891,33642.970855049454,33673.562235653335,33697.90980484799,33716.20971152162,33728.160670981946,33733.710899922495,LKA,Sri Lanka,LKA,Sri Lanka
16333.696857641757,17327.30016215383,18375.915788765462,19482.70620956232,20651.164065140158,21885.202728423254,23188.932247633253,24566.51779188813,26022.256787348728,27560.81890362558,SDN,Sudan,SDN,Sudan
6800.397986119721,7198.9330633117625,7621.303094162546,8069.60938106373,8298.24163237283,8424.426211875865,8550.410672980855,8676.325627314012,8802.223777812216,8928.448075470586,TJK,Tajikistan,TJK,Tajikistan
42849.835471276594,45715.980116007406,48769.36570371821,52022.77693432415,55490.649308637905,59188.6468784466,63133.614524356984,67343.79757886472,71838.7076333472,76639.14204866883,TZA,Tanzania,TZA,Tanzania
5401.4228204555475,5726.097790418339,6069.227528643447,6431.93919239929,6815.433245899727,7220.987596103486,7649.975123031561,8103.899544012767,8584.38041300213,9093.104851417871,TGO,Togo,TGO,Togo
45156.58609807637,48244.34360952143,51531.5519924422,55031.2297436265,58757.272946886056,62724.44703382715,66948.75709046605,71447.78285158292,76240.49710140566,81346.94093465045,UGA,Uganda,UGA,Uganda
174411.91060729531,173452.83547864095,172468.68173700475,171460.99381309818,170433.02400016555,169389.93265796514,168336.304049085,167273.3312258208,166202.84462457127,165130.69101874428,UKR,Ukraine,UKR,Ukraine
28015.303455298355,28298.991313692444,28571.094390341495,28831.758420962484,29082.305494214394,29324.454647421764,29559.605265535454,29788.240450379697,30010.493860125862,30226.917841192982,UZB,Uzbekistan,UZB,Uzbekistan
132203.44093275405,138628.46406675916,145373.668607461,152465.11098787846,159931.3005886625,165706.21224562448,166697.11646565385,167634.55960670408,168519.85600264193,169360.02275337226,VNM,Vietnam,VNM,Vietnam
13292.981898153394,14054.479946915766,14854.295765938443,15694.59679087937,16577.6234776976,17505.762532378838,18481.651596560423,19508.091649777078,20588.30737022308,21726.117607432512,YEM,Yemen,YEM,Yemen
13671.269579087928,14580.939073734899,15549.08141338245,16579.409121145003,17675.73317738024,18841.964779982707,20082.43063206348,21402.105087236683,22806.52990318721,24301.606233093735,ZMB,Zambia,ZMB,Zambia
11336.914841263104,11987.163223446201,12670.620267558674,13388.702338777963,14143.42171097806,14936.825318677045,15771.08427353762,16648.61661813115,17571.99349826695,18543.80523083389,ZWE,Zimbabwe,ZWE,Zimbabwe
